# historical_transformer: parabolic-vertex scaling law, eta* = 0.072178 * d^(-0.8202), R^2=0.8522
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00420650,-2.3761
48,0.00301644,-2.5205
64,0.00238245,-2.6230
80,0.00198399,-2.7025
96,0.00170843,-2.7674
112,0.00150553,-2.8223
128,0.00134936,-2.8699
144,0.00122510,-2.9118
160,0.00112368,-2.9494
176,0.00103919,-2.9833
192,0.00096761,-3.0143
208,0.00090613,-3.0428
224,0.00085269,-3.0692
240,0.00080578,-3.0938
256,0.00076424,-3.1168
272,0.00072717,-3.1384
288,0.00069387,-3.1587
304,0.00066377,-3.1780
320,0.00063642,-3.1963
336,0.00061146,-3.2136
352,0.00058857,-3.2302
368,0.00056750,-3.2460
384,0.00054803,-3.2612
400,0.00052998,-3.2757
416,0.00051321,-3.2897
432,0.00049756,-3.3032
448,0.00048294,-3.3161
464,0.00046924,-3.3286
480,0.00045637,-3.3407
496,0.00044426,-3.3524
512,0.00043284,-3.3637
