# historical_transformer_fair_combined: parabolic-vertex scaling law, eta* = 0.024814 * d^(-0.6201), R^2=0.5597
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00289284,-2.5387
48,0.00224971,-2.6479
64,0.00188213,-2.7254
80,0.00163890,-2.7854
96,0.00146370,-2.8345
112,0.00133026,-2.8761
128,0.00122454,-2.9120
144,0.00113829,-2.9437
160,0.00106629,-2.9721
176,0.00100510,-2.9978
192,0.00095230,-3.0212
208,0.00090619,-3.0428
224,0.00086549,-3.0627
240,0.00082924,-3.0813
256,0.00079671,-3.0987
272,0.00076731,-3.1150
288,0.00074059,-3.1304
304,0.00071617,-3.1450
320,0.00069375,-3.1588
336,0.00067307,-3.1719
352,0.00065393,-3.1845
368,0.00063615,-3.1964
384,0.00061958,-3.2079
400,0.00060410,-3.2189
416,0.00058958,-3.2295
432,0.00057594,-3.2396
448,0.00056310,-3.2494
464,0.00055098,-3.2589
480,0.00053951,-3.2680
496,0.00052866,-3.2768
512,0.00051835,-3.2854
