# historical_transformer_fair_combined_iter2: lr = 0.024590 * hidden_dim^(-0.5979), R^2=0.5301
hidden_dim,learning_rate,log10_lr
32,0.00309614,-2.5092
48,0.00242960,-2.6145
64,0.00204566,-2.6892
80,0.00179015,-2.7471
96,0.00160527,-2.7945
112,0.00146393,-2.8345
128,0.00135159,-2.8692
144,0.00125968,-2.8997
160,0.00118278,-2.9271
176,0.00111726,-2.9518
192,0.00106062,-2.9744
208,0.00101106,-2.9952
224,0.00096724,-3.0145
240,0.00092815,-3.0324
256,0.00089301,-3.0491
272,0.00086122,-3.0649
288,0.00083229,-3.0797
304,0.00080581,-3.0938
320,0.00078148,-3.1071
336,0.00075901,-3.1198
352,0.00073819,-3.1318
368,0.00071883,-3.1434
384,0.00070077,-3.1544
400,0.00068387,-3.1650
416,0.00066802,-3.1752
432,0.00065311,-3.1850
448,0.00063907,-3.1945
464,0.00062580,-3.2036
480,0.00061324,-3.2124
496,0.00060133,-3.2209
512,0.00059003,-3.2291
