# historical_transformer_fair_combined_iter2: parabolic-vertex scaling law, eta* = 0.014241 * d^(-0.4775), R^2=0.3643
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00272187,-2.5651
48,0.00224279,-2.6492
64,0.00195494,-2.7089
80,0.00175737,-2.7551
96,0.00161085,-2.7929
112,0.00149655,-2.8249
128,0.00140411,-2.8526
144,0.00132732,-2.8770
160,0.00126220,-2.8989
176,0.00120605,-2.9186
192,0.00115697,-2.9367
208,0.00111359,-2.9533
224,0.00107487,-2.9686
240,0.00104004,-2.9829
256,0.00100848,-2.9963
272,0.00097971,-3.0089
288,0.00095333,-3.0208
304,0.00092903,-3.0320
320,0.00090656,-3.0426
336,0.00088568,-3.0527
352,0.00086623,-3.0624
368,0.00084803,-3.0716
384,0.00083098,-3.0804
400,0.00081494,-3.0889
416,0.00079982,-3.0970
432,0.00078553,-3.1048
448,0.00077201,-3.1124
464,0.00075918,-3.1197
480,0.00074699,-3.1267
496,0.00073539,-3.1335
512,0.00072433,-3.1401
