# historical_transformer_iter2_combined: parabolic-vertex scaling law, eta* = 0.038019 * d^(-0.6745), R^2=0.7481
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00367047,-2.4353
48,0.00279216,-2.5541
64,0.00229967,-2.6383
80,0.00197831,-2.7037
96,0.00174938,-2.7571
112,0.00157662,-2.8023
128,0.00144081,-2.8414
144,0.00133077,-2.8759
160,0.00123948,-2.9068
176,0.00116230,-2.9347
192,0.00109604,-2.9602
208,0.00103843,-2.9836
224,0.00098780,-3.0053
240,0.00094288,-3.0255
256,0.00090272,-3.0444
272,0.00086655,-3.0622
288,0.00083377,-3.0790
304,0.00080391,-3.0948
320,0.00077657,-3.1098
336,0.00075143,-3.1241
352,0.00072822,-3.1377
368,0.00070671,-3.1508
384,0.00068671,-3.1632
400,0.00066806,-3.1752
416,0.00065061,-3.1867
432,0.00063426,-3.1977
448,0.00061889,-3.2084
464,0.00060441,-3.2187
480,0.00059075,-3.2286
496,0.00057782,-3.2382
512,0.00056558,-3.2475
