# historical_transformer_iter3: lr = 0.043438 * hidden_dim^(-0.7247), R^2=0.7272
hidden_dim,learning_rate,log10_lr
32,0.00352421,-2.4529
48,0.00262691,-2.5806
64,0.00213255,-2.6711
80,0.00181412,-2.7413
96,0.00158958,-2.7987
112,0.00142156,-2.8472
128,0.00129044,-2.8893
144,0.00118486,-2.9263
160,0.00109775,-2.9595
176,0.00102449,-2.9895
192,0.00096188,-3.0169
208,0.00090767,-3.0421
224,0.00086021,-3.0654
240,0.00081825,-3.0871
256,0.00078086,-3.1074
272,0.00074730,-3.1265
288,0.00071697,-3.1445
304,0.00068942,-3.1615
320,0.00066427,-3.1777
336,0.00064119,-3.1930
352,0.00061993,-3.2077
368,0.00060028,-3.2216
384,0.00058205,-3.2350
400,0.00056508,-3.2479
416,0.00054924,-3.2602
432,0.00053442,-3.2721
448,0.00052052,-3.2836
464,0.00050745,-3.2946
480,0.00049514,-3.3053
496,0.00048351,-3.3156
512,0.00047251,-3.3256
