# historical_transformer_iter3: parabolic-vertex scaling law, eta* = 0.035456 * d^(-0.6789), R^2=0.8622
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.00337117,-2.4722
48,0.00255991,-2.5918
64,0.00210572,-2.6766
80,0.00180969,-2.7424
96,0.00159899,-2.7962
112,0.00144010,-2.8416
128,0.00131528,-2.8810
144,0.00121420,-2.9157
160,0.00113038,-2.9468
176,0.00105955,-2.9749
192,0.00099877,-3.0005
208,0.00094594,-3.0241
224,0.00089952,-3.0460
240,0.00085836,-3.0663
256,0.00082156,-3.0854
272,0.00078843,-3.1032
288,0.00075842,-3.1201
304,0.00073108,-3.1360
320,0.00070606,-3.1512
336,0.00068305,-3.1655
352,0.00066182,-3.1793
368,0.00064214,-3.1924
384,0.00062385,-3.2049
400,0.00060680,-3.2170
416,0.00059086,-3.2285
432,0.00057591,-3.2396
448,0.00056186,-3.2504
464,0.00054863,-3.2607
480,0.00053615,-3.2707
496,0.00052435,-3.2804
512,0.00051316,-3.2897
