# lstm_layer1_large: lr = 0.627543 * hidden_dim^(-0.7186), R^2=0.9260
hidden_dim,learning_rate,log10_lr
32,0.05200482,-1.2840
48,0.03886016,-1.4105
64,0.03160266,-1.5003
80,0.02692057,-1.5699
96,0.02361482,-1.6268
112,0.02113862,-1.6749
128,0.01920453,-1.7166
144,0.01764597,-1.7534
160,0.01635928,-1.7862
176,0.01527635,-1.8160
192,0.01435042,-1.8431
208,0.01354829,-1.8681
224,0.01284567,-1.8912
240,0.01222433,-1.9128
256,0.01167035,-1.9329
272,0.01117285,-1.9518
288,0.01072323,-1.9697
304,0.01031459,-1.9865
320,0.00994133,-2.0026
336,0.00959882,-2.0178
352,0.00928324,-2.0323
368,0.00899139,-2.0462
384,0.00872057,-2.0595
400,0.00846847,-2.0722
416,0.00823312,-2.0844
432,0.00801284,-2.0962
448,0.00780615,-2.1076
464,0.00761176,-2.1185
480,0.00742857,-2.1291
496,0.00725558,-2.1393
512,0.00709192,-2.1492
