# modern_transformer_fair_combined: lr = 0.240558 * hidden_dim^(-0.8290), R^2=0.8735
hidden_dim,learning_rate,log10_lr
32,0.01359644,-1.8666
48,0.00971500,-2.0126
64,0.00765361,-2.1161
80,0.00636102,-2.1965
96,0.00546870,-2.2621
112,0.00481265,-2.3176
128,0.00430832,-2.3657
144,0.00390752,-2.4081
160,0.00358070,-2.4460
176,0.00330866,-2.4803
192,0.00307840,-2.5117
208,0.00288076,-2.5405
224,0.00270910,-2.5672
240,0.00255850,-2.5920
256,0.00242521,-2.6153
272,0.00230633,-2.6371
288,0.00219959,-2.6577
304,0.00210318,-2.6771
320,0.00201562,-2.6956
336,0.00193572,-2.7132
352,0.00186249,-2.7299
368,0.00179510,-2.7459
384,0.00173287,-2.7612
400,0.00167521,-2.7759
416,0.00162162,-2.7901
432,0.00157167,-2.8036
448,0.00152499,-2.8167
464,0.00148126,-2.8294
480,0.00144021,-2.8416
496,0.00140159,-2.8534
512,0.00136518,-2.8648
