# modern_transformer_iter3: lr = 0.248388 * hidden_dim^(-0.8373), R^2=0.8523
hidden_dim,learning_rate,log10_lr
32,0.01364186,-1.8651
48,0.00971478,-2.0126
64,0.00763523,-2.1172
80,0.00633402,-2.1983
96,0.00543728,-2.2646
112,0.00477889,-2.3207
128,0.00427337,-2.3692
144,0.00387205,-2.4121
160,0.00354510,-2.4504
176,0.00327318,-2.4850
192,0.00304320,-2.5167
208,0.00284593,-2.5458
224,0.00267470,-2.5727
240,0.00252457,-2.5978
256,0.00239177,-2.6213
272,0.00227339,-2.6433
288,0.00216715,-2.6641
304,0.00207123,-2.6838
320,0.00198416,-2.7024
336,0.00190474,-2.7202
352,0.00183197,-2.7371
368,0.00176504,-2.7532
384,0.00170325,-2.7687
400,0.00164602,-2.7836
416,0.00159284,-2.7978
432,0.00154329,-2.8116
448,0.00149701,-2.8248
464,0.00145366,-2.8375
480,0.00141298,-2.8499
496,0.00137471,-2.8618
512,0.00133865,-2.8733
