# modern_transformer_iter3: parabolic-vertex scaling law, eta* = 0.446372 * d^(-1.0164), R^2=0.8307
# Method: per-scale quadratic L_val = a*x^2 + b*x + c, x=ln(lr); eta* = exp(-b/(2a)); then log10(eta*) = alpha*log10(d) + beta.
# Standard procedure in Bjorck et al. 2025 (ICLR) and Google VaultGemma report.
hidden_dim,learning_rate,log10_lr
32,0.01317877,-1.8801
48,0.00872764,-2.0591
64,0.00651494,-2.1861
80,0.00519292,-2.2846
96,0.00431452,-2.3651
112,0.00368883,-2.4331
128,0.00322067,-2.4921
144,0.00285729,-2.5440
160,0.00256713,-2.5906
176,0.00233011,-2.6326
192,0.00213289,-2.6710
208,0.00196624,-2.7064
224,0.00182358,-2.7391
240,0.00170008,-2.7695
256,0.00159214,-2.7980
272,0.00149700,-2.8248
288,0.00141251,-2.8500
304,0.00133698,-2.8739
320,0.00126906,-2.8965
336,0.00120766,-2.9181
352,0.00115189,-2.9386
368,0.00110101,-2.9582
384,0.00105440,-2.9770
400,0.00101154,-2.9950
416,0.00097201,-3.0123
432,0.00093543,-3.0290
448,0.00090149,-3.0450
464,0.00086990,-3.0605
480,0.00084044,-3.0755
496,0.00081289,-3.0900
512,0.00078708,-3.1040
